,wid,links,county,city,state,population,watertype
32005,PA2450106,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=PA2450106&state=PA&source=Ground%20water&population=48&sys_num=0,MONROE,NOT REPORTED,PA,48,Ground water
12763,IA7048001,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IA7048001&state=IA&source=Ground%20water&population=24386&sys_num=0,MUSCATINE,MUSCATINE,IA,24386,Ground water
43231,NH1212140,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NH1212140&state=NH&source=Ground%20water&population=44&sys_num=0,CARROLL,JACKSON,NH,44,Ground water
9090,NE3107702,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NE3107702&state=NE&source=Ground%20water&population=487&sys_num=0,GREELEY,SPALDING,NE,487,Ground water
22559,MS0580021,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MS0580021&state=MS&source=Ground%20water&population=1333&sys_num=0,PONTOTOC,NOT REPORTED,MS,1333,Ground water
27907,NC0112148,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NC0112148&state=NC&source=Surface%20water%20purchased&population=350&sys_num=0,BURKE,MORGANTON,NC,350,Surface water purchased
22890,MS0140004,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MS0140004&state=MS&source=Ground%20water&population=1200&sys_num=0,COAHOMA,NOT REPORTED,MS,1200,Ground water
5650,MT0003102,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MT0003102&state=MT&source=Ground%20water&population=310&sys_num=0,LAKE,POLSON,MT,310,Ground water
41922,TX0610016,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=TX0610016&state=TX&source=Ground%20water&population=165&sys_num=0,DENTON,NOT REPORTED,TX,165,Ground water
10464,OK3001947,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OK3001947&state=OK&source=Surface%20water%20purchased&population=26&sys_num=0,CREEK,NOT REPORTED,OK,26,Surface water purchased
39347,CA5010021,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CA5010021&state=CA&source=Ground%20water&population=3225&sys_num=0,STANISLAUS,NOT REPORTED,CA,3225,Ground water
33187,NY1600007,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY1600007&state=NY&source=Ground%20water&population=900&sys_num=0,FRANKLIN,FORT COVINGTON (T),NY,900,Ground water
8476,SD4600290,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=SD4600290&state=SD&source=Surface%20water%20purchased&population=841&sys_num=0,BON HOMME,SCOTLAND,SD,841,Surface water purchased
40999,TX1780012,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=TX1780012&state=TX&source=Surface%20water%20purchased&population=898&sys_num=0,NUECES,NOT REPORTED,TX,898,Surface water purchased
26279,GA1650001,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=GA1650001&state=GA&source=Ground%20water&population=140&sys_num=0,JENKINS,PERKINS,GA,140,Ground water
18315,IL1390250,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IL1390250&state=IL&source=Ground%20water&population=1300&sys_num=0,MOULTRIE,LOVINGTON,IL,1300,Ground water
41258,TX0030004,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=TX0030004&state=TX&source=Ground%20water&population=42178&sys_num=0,ANGELINA,NOT REPORTED,TX,42178,Ground water
35516,NY3401161,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY3401161&state=NY&source=Groundwater%20under%20influence%20of%20surface%20water&population=1100&sys_num=0,ONTARIO,NAPLES (V),NY,1100,Groundwater under influence of surface water
7305,NM3528122,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NM3528122&state=NM&source=Ground%20water&population=73&sys_num=0,ROOSEVELT,CAUSEY,NM,73,Ground water
17000,WI2300177,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WI2300177&state=WI&source=Ground%20water&population=220&sys_num=0,KENOSHA,STURTEVANT,WI,220,Ground water
21235,KY0820641,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=KY0820641&state=KY&source=Ground%20water%20purchased&population=2260&sys_num=0,MEADE,NOT REPORTED,KY,2260,Ground water purchased
16292,LA1121027,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=LA1121027&state=LA&source=Ground%20water&population=5100&sys_num=0,WEST BATON ROUGE PARISH,NOT REPORTED,LA,5100,Ground water
26296,GA3050016,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=GA3050016&state=GA&source=Ground%20water&population=73&sys_num=0,WAYNE,JESUP,GA,73,Ground water
44978,RI1900034,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=RI1900034&state=RI&source=Ground%20water&population=150&sys_num=0,PROVIDENCE,BURRILLVILLE,RI,150,Ground water
6721,CO0145330,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CO0145330&state=CO&source=Ground%20water&population=51&sys_num=0,OTERO,NOT REPORTED,CO,51,Ground water
25442,GA1950002,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=GA1950002&state=GA&source=Ground%20water&population=1380&sys_num=0,MADISON,COMER,GA,1380,Ground water
40432,TX1260080,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=TX1260080&state=TX&source=Ground%20water&population=63&sys_num=0,JOHNSON,NOT REPORTED,TX,63,Ground water
47932,MD0080035,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MD0080035&state=MD&source=Ground%20water&population=50&sys_num=0,CHARLES,NOT REPORTED,MD,50,Ground water
2722,OR4100497,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OR4100497&state=OR&source=Surface%20water&population=32535&sys_num=0,YAMHILL,NOT REPORTED,OR,32535,Surface water
30887,PA6430049,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=PA6430049&state=PA&source=Ground%20water&population=2027&sys_num=0,MERCER,NOT REPORTED,PA,2027,Ground water
34989,NY4500165,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY4500165&state=NY&source=Ground%20water&population=800&sys_num=0,SARATOGA,HADLEY (T),NY,800,Ground water
30888,PA6170004,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=PA6170004&state=PA&source=Ground%20water&population=325&sys_num=0,CLEARFIELD,NOT REPORTED,PA,325,Ground water
35989,ME0091420,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=ME0091420&state=ME&source=Surface%20water&population=910&sys_num=0,HANCOCK,MOUNT DESERT,ME,910,Surface water
23621,FL6535097,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=FL6535097&state=FL&source=Ground%20water&population=150&sys_num=0,POLK,MULBERRY,FL,150,Ground water
7080,CO0145690,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CO0145690&state=CO&source=Ground%20water&population=600&sys_num=0,OTERO,NOT REPORTED,CO,600,Ground water
23023,MS0170043,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MS0170043&state=MS&source=Ground%20water&population=7527&sys_num=0,DESOTO,NOT REPORTED,MS,7527,Ground water
45162,MA3030000,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MA3030000&state=MA&source=Surface%20water%20purchased&population=43316&sys_num=0,ESSEX,BEVERLY,MA,43316,Surface water purchased
37116,MI0005280,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MI0005280&state=MI&source=Ground%20water&population=2065&sys_num=0,SHIAWASSEE,PERRY,MI,2065,Ground water
36092,ME0091510,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=ME0091510&state=ME&source=Ground%20water&population=733&sys_num=0,HANCOCK,STONINGTON,ME,733,Ground water
1027,WA5365550,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WA5365550&state=WA&source=Ground%20water&population=631&sys_num=0,LEWIS,NOT REPORTED,WA,631,Ground water
5467,MT0000193,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MT0000193&state=MT&source=Surface%20water&population=3105&sys_num=0,GLACIER,CUT BANK,MT,3105,Surface water
47864,MD0180008,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MD0180008&state=MD&source=Ground%20water&population=169&sys_num=0,ST. MARY'S,NOT REPORTED,MD,169,Ground water
37193,MI0005650,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MI0005650&state=MI&source=Ground%20water&population=2430&sys_num=0,OSCEOLA,REED CITY,MI,2430,Ground water
39278,CA4200514,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CA4200514&state=CA&source=Ground%20water&population=65&sys_num=0,SANTA BARBARA,NOT REPORTED,CA,65,Ground water
34582,NY3530071,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY3530071&state=NY&source=Ground%20water&population=217&sys_num=0,ORANGE,WOODBURY (T),NY,217,Ground water
42595,VT0020551,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=VT0020551&state=VT&source=Surface%20water%20purchased&population=199&sys_num=0,CHITTENDEN,COLCHESTER,VT,199,Surface water purchased
21803,TN0000463,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=TN0000463&state=TN&source=Ground%20water&population=8295&sys_num=0,SHELBY,MILLINGTON,TN,8295,Ground water
28281,NC3041085,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NC3041085&state=NC&source=Ground%20water&population=58&sys_num=0,GUILFORD,OAK RIDGE,NC,58,Ground water
32849,NY4410159,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY4410159&state=NY&source=Ground%20water&population=50&sys_num=0,ST. LAWRENCE,CANTON (T),NY,50,Ground water
10181,OK2000816,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OK2000816&state=OK&source=Ground%20water&population=3900&sys_num=0,CADDO,NOT REPORTED,OK,3900,Ground water
45157,MA1260001,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MA1260001&state=MA&source=Ground%20water&population=100&sys_num=0,BERKSHIRE,SANDISFIELD,MA,100,Ground water
23895,FL1660196,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=FL1660196&state=FL&source=Ground%20water&population=17094&sys_num=0,WALTON,DEFUNIAK SPRINGS,FL,17094,Ground water
8046,ND2200827,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=ND2200827&state=ND&source=Ground%20water&population=37&sys_num=0,KIDDER,ROBINSON,ND,37,Ground water
2639,OR4100414,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OR4100414&state=OR&source=Surface%20water&population=1090&sys_num=0,WALLOWA,NOT REPORTED,OR,1090,Surface water
41572,TX2210009,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=TX2210009&state=TX&source=Surface%20water%20purchased&population=420&sys_num=0,TAYLOR,NOT REPORTED,TX,420,Surface water purchased
32588,NY4317681,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY4317681&state=NY&source=Surface%20water&population=3564&sys_num=0,ORANGE<br>ROCKLAND</br>,HIGHLANDS (T)<br>STONY POINT (T)<br>WOODBURY (T)</br></br>,NY,3564,Surface water
39983,CA5200516,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CA5200516&state=CA&source=Ground%20water&population=65&sys_num=0,TEHAMA,NOT REPORTED,CA,65,Ground water
12411,IA3135018,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IA3135018&state=IA&source=Ground%20water&population=1537&sys_num=0,DUBUQUE,FARLEY,IA,1537,Ground water
4396,UTAH11013,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=UTAH11013&state=UT&source=Ground%20water&population=380&sys_num=0,IRON,NOT REPORTED,UT,380,Ground water
37888,AK2211122,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=AK2211122&state=AK&source=Ground%20water&population=48&sys_num=0,ANCHORAGE MUNICIPALITY,ANCHORAGE,AK,48,Ground water
42299,VT0005115,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=VT0005115&state=VT&source=Groundwater%20under%20influence%20of%20surface%20water&population=184&sys_num=0,FRANKLIN,BERKSHIRE,VT,184,Groundwater under influence of surface water
44378,NJ2120002,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NJ2120002&state=NJ&source=Ground%20water&population=261&sys_num=0,WARREN,POHATCONG TWP.-2120,NJ,261,Ground water
23670,FL1464068,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=FL1464068&state=FL&source=Ground%20water&population=973&sys_num=0,OKALOOSA,BAKER,FL,973,Ground water
35299,NY3830021,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY3830021&state=NY&source=Ground%20water&population=150&sys_num=0,OTSEGO,LAURENS (T),NY,150,Ground water
33613,NY5620267,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY5620267&state=NY&source=Ground%20water&population=330&sys_num=0,WARREN,QUEENSBURY (T),NY,330,Ground water
39834,CA4400611,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CA4400611&state=CA&source=Ground%20water&population=53&sys_num=0,SANTA CRUZ,NOT REPORTED,CA,53,Ground water
20644,OH3500811,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OH3500811&state=OH&source=Surface%20water&population=8749&sys_num=0,HENRY,NOT REPORTED,OH,8749,Surface water
30542,WV3301963,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WV3301963&state=WV&source=Ground%20water&population=928&sys_num=0,JEFFERSON,HARPERS FERRY,WV,928,Ground water
34610,NY4530254,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY4530254&state=NY&source=Surface%20water%20purchased&population=60&sys_num=0,SARATOGA,CLIFTON PARK (T),NY,60,Surface water purchased
7898,ND0700344,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=ND0700344&state=ND&source=Ground%20water&population=66&sys_num=0,BURKE,FLAXTON,ND,66,Ground water
45046,RI2000059,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=RI2000059&state=RI&source=Ground%20water&population=199&sys_num=0,PROVIDENCE,GLOCESTER,RI,199,Ground water
44568,NJ1511002,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NJ1511002&state=NJ&source=Ground%20water&population=440&sys_num=0,OCEAN,JACKSON TWP.-1511,NJ,440,Ground water
33417,NY0301667,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY0301667&state=NY&source=Ground%20water&population=2100&sys_num=0,BROOME,FENTON (T),NY,2100,Ground water
3240,NV0000202,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NV0000202&state=NV&source=Ground%20water&population=3012&sys_num=0,WASHOE,LEMMON VALLEY,NV,3012,Ground water
32164,PA1460038,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=PA1460038&state=PA&source=Ground%20water&population=220&sys_num=0,MONTGOMERY,NOT REPORTED,PA,220,Ground water
36137,ME0095330,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=ME0095330&state=ME&source=Ground%20water&population=41&sys_num=0,AROOSTOOK,EASTON,ME,41,Ground water
35791,ME0090110,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=ME0090110&state=ME&source=Surface%20water&population=25855&sys_num=0,PENOBSCOT,BANGOR<br>CLIFTON<br>EDDINGTON<br>HAMPDEN<br>HERMON<br>ORRINGTON<br>VEAZIE</br></br></br></br></br></br>,ME,25855,Surface water
27739,NC0157138,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NC0157138&state=NC&source=Ground%20water&population=165&sys_num=0,MACON,HIGHLANDS,NC,165,Ground water
7530,NM3574729,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NM3574729&state=NM&source=Ground%20water&population=120&sys_num=0,TAOS,ARROYO HONDO,NM,120,Ground water
25723,GA2610045,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=GA2610045&state=GA&source=Ground%20water&population=81&sys_num=0,SUMTER,AMERICUS,GA,81,Ground water
32787,NY1319115,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY1319115&state=NY&source=Ground%20water&population=75&sys_num=0,DUTCHESS,AMENIA (T),NY,75,Ground water
3384,AZ0411039,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=AZ0411039&state=AZ&source=Surface%20water%20purchased&population=13657&sys_num=0,PINAL,APACHE JUNCTION,AZ,13657,Surface water purchased
12102,MN1790015,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MN1790015&state=MN&source=Ground%20water&population=181&sys_num=0,WABASHA,ZUMBRO FALLS,MN,181,Ground water
23772,FL6290298,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=FL6290298&state=FL&source=Ground%20water&population=380&sys_num=0,HILLSBOROUGH,RUSKIN,FL,380,Ground water
34751,NY1422651,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY1422651&state=NY&source=Surface%20water%20purchased&population=5319&sys_num=0,ERIE,NEWSTEAD (T),NY,5319,Surface water purchased
15810,LA1025011,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=LA1025011&state=LA&source=Ground%20water&population=750&sys_num=0,CATAHOULA PARISH,NOT REPORTED,LA,750,Ground water
26014,GA1870043,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=GA1870043&state=GA&source=Surface%20water%20purchased&population=834&sys_num=0,LUMPKIN,DAHLONEGA,GA,834,Surface water purchased
9554,KS2018901,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=KS2018901&state=KS&source=Ground%20water&population=3966&sys_num=0,STEVENS,HUGOTON,KS,3966,Ground water
47110,DE0000269,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=DE0000269&state=DE&source=Ground%20water&population=321&sys_num=0,SUSSEX,ELLENDALE,DE,321,Ground water
12563,IA1335001,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IA1335001&state=IA&source=Ground%20water&population=41&sys_num=0,CALHOUN,JOLLEY,IA,41,Ground water
30384,WV3302471,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WV3302471&state=WV&source=Ground%20water&population=363&sys_num=0,MCDOWELL,WELCH,WV,363,Ground water
40124,CA4400539,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CA4400539&state=CA&source=Ground%20water&population=350&sys_num=0,SANTA CRUZ,NOT REPORTED,CA,350,Ground water
18820,IL0050250,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IL0050250&state=IL&source=Surface%20water%20purchased&population=200&sys_num=0,BOND,SMITHBORO,IL,200,Surface water purchased
25275,GA2510053,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=GA2510053&state=GA&source=Ground%20water&population=50&sys_num=0,SCREVEN,NEWINGTON,GA,50,Ground water
33946,NY0310329,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY0310329&state=NY&source=Ground%20water&population=187&sys_num=0,BROOME,MAINE (T),NY,187,Ground water
29096,VA5117100,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=VA5117100&state=VA&source=Surface%20water%20purchased&population=477&sys_num=0,MECKLENBURG,NOT REPORTED,VA,477,Surface water purchased
45229,MA1070000,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MA1070000&state=MA&source=Surface%20water%20purchased&population=6419&sys_num=0,BERKSHIRE,DALTON,MA,6419,Surface water purchased
43069,NH1392290,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NH1392290&state=NH&source=Ground%20water&population=175&sys_num=0,ROCKINGHAM,LONDONDERRY,NH,175,Ground water
4328,UTAH13038,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=UTAH13038&state=UT&source=Ground%20water&population=217&sys_num=0,KANE,NOT REPORTED,UT,217,Ground water
6589,CO0134200,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CO0134200&state=CO&source=Surface%20water&population=1200&sys_num=0,LA PLATA,NOT REPORTED,CO,1200,Surface water
5254,ID4010244,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=ID4010244&state=ID&source=Ground%20water&population=40&sys_num=0,ADA,NOT REPORTED,ID,40,Ground water
39801,CA1210019,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CA1210019&state=CA&source=Ground%20water&population=1200&sys_num=0,HUMBOLDT,NOT REPORTED,CA,1200,Ground water
17990,IL0770400,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IL0770400&state=IL&source=Ground%20water&population=683&sys_num=0,JACKSON,GRAND TOWER,IL,683,Ground water
41640,TX1550048,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=TX1550048&state=TX&source=Surface%20water%20purchased&population=11667&sys_num=0,MCLENNAN,NOT REPORTED,TX,11667,Surface water purchased
29247,VA4057250,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=VA4057250&state=VA&source=Ground%20water&population=51&sys_num=0,ESSEX,NOT REPORTED,VA,51,Ground water
41781,TX1090021,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=TX1090021&state=TX&source=Ground%20water&population=666&sys_num=0,HILL,NOT REPORTED,TX,666,Ground water
19573,IN5243017,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IN5243017&state=IN&source=Ground%20water&population=1550&sys_num=0,KOSCIUSKO,MILFORD,IN,1550,Ground water
6529,CO0101187,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CO0101187&state=CO&source=Ground%20water&population=30&sys_num=0,ADAMS,NOT REPORTED,CO,30,Ground water
31243,PA6250049,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=PA6250049&state=PA&source=Ground%20water&population=3301&sys_num=0,ERIE,NOT REPORTED,PA,3301,Ground water
39075,CA4810003,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CA4810003&state=CA&source=Surface%20water&population=100147&sys_num=0,SOLANO,FAIRFIELD,CA,100147,Surface water
23006,MS0720024,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MS0720024&state=MS&source=Ground%20water&population=6254&sys_num=0,TUNICA,NOT REPORTED,MS,6254,Ground water
35542,NY3100573,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY3100573&state=NY&source=Surface%20water%20purchased&population=3477&sys_num=0,NIAGARA,NEWFANE (T),NY,3477,Surface water purchased
36987,MI0004397,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MI0004397&state=MI&source=Ground%20water&population=206&sys_num=0,PRESQUE ISLE,MILLERSBURG,MI,206,Ground water
32173,PA6530013,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=PA6530013&state=PA&source=Ground%20water&population=1243&sys_num=0,POTTER,NOT REPORTED,PA,1243,Ground water
33752,NY5920685,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY5920685&state=NY&source=Groundwater%20under%20influence%20of%20surface%20water&population=630&sys_num=0,WESTCHESTER,LEWISBORO (T),NY,630,Groundwater under influence of surface water
26727,GA0930003,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=GA0930003&state=GA&source=Ground%20water&population=3837&sys_num=0,DOOLY,UNADILLA,GA,3837,Ground water
32653,NY2000135,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY2000135&state=NY&source=Surface%20water&population=400&sys_num=0,HAMILTON,INDIAN LAKE (T),NY,400,Surface water
27940,NC0102015,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NC0102015&state=NC&source=Surface%20water%20purchased&population=12199&sys_num=0,ALEXANDER,HIDDENITE,NC,12199,Surface water purchased
9675,KS2017345,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=KS2017345&state=KS&source=Ground%20water&population=4073&sys_num=0,SEDGWICK,MAIZE,KS,4073,Ground water
22955,MS0820012,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MS0820012&state=MS&source=Ground%20water&population=68&sys_num=0,YAZOO,NOT REPORTED,MS,68,Ground water
18670,IL0970320,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IL0970320&state=IL&source=Ground%20water&population=78&sys_num=0,LAKE,LONG GROVE,IL,78,Ground water
38016,HI0000214,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=HI0000214&state=HI&source=Surface%20water&population=18122&sys_num=0,NOT REPORTED,LAHAINA,HI,18122,Surface water
45451,MA1058002,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MA1058002&state=MA&source=Ground%20water&population=180&sys_num=0,BERKSHIRE,CHESHIRE,MA,180,Ground water
20933,OH8503812,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OH8503812&state=OH&source=Ground%20water&population=158&sys_num=0,WAYNE,NOT REPORTED,OH,158,Ground water
11498,MN1510006,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MN1510006&state=MN&source=Ground%20water&population=56&sys_num=0,MURRAY,HADLEY,MN,56,Ground water
48067,MD0140010,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MD0140010&state=MD&source=Ground%20water&population=970&sys_num=0,KENT,NOT REPORTED,MD,970,Ground water
9909,KS2016901,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=KS2016901&state=KS&source=Surface%20water%20purchased&population=80&sys_num=0,SALINE,FALUN,KS,80,Surface water purchased
27288,SC0860037,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=SC0860037&state=SC&source=Ground%20water&population=34&sys_num=0,BERKELEY,SUMMERVILLE,SC,34,Ground water
15176,AR0000674,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=AR0000674&state=AR&source=Surface%20water%20purchased&population=4053&sys_num=0,FRANKLIN,NOT REPORTED,AR,4053,Surface water purchased
16653,WI4080377,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WI4080377&state=WI&source=Ground%20water&population=320&sys_num=0,CALUMET,FOREST JUNCTION,WI,320,Ground water
26951,SC4050011,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=SC4050011&state=SC&source=Ground%20water&population=126&sys_num=0,RICHLAND,HOPKINS,SC,126,Ground water
22443,MS0340007,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MS0340007&state=MS&source=Ground%20water&population=4263&sys_num=0,JONES,NOT REPORTED,MS,4263,Ground water
10311,OK3006631,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OK3006631&state=OK&source=Surface%20water%20purchased&population=445&sys_num=0,ROGERS,NOT REPORTED,OK,445,Surface water purchased
19538,IN5229017,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IN5229017&state=IN&source=Ground%20water&population=35&sys_num=0,HAMILTON,WESTFIELD,IN,35,Ground water
38250,PR0455234,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=PR0455234&state=PR&source=Ground%20water&population=320&sys_num=0,OROCOVIS MUNICIPIO,OROCOVIS,PR,320,Ground water
