,wid,links,county,city,state,population,watertype
41500,TX0830012,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=TX0830012&state=TX&source=Ground%20water&population=6210&sys_num=0,GAINES,NOT REPORTED,TX,6210,Ground water
17430,IL0895300,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IL0895300&state=IL&source=Ground%20water&population=920&sys_num=0,KANE,NOT REPORTED,IL,920,Ground water
39716,CA1500546,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CA1500546&state=CA&source=Ground%20water&population=138&sys_num=0,KERN,NOT REPORTED,CA,138,Ground water
22114,MS0820033,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MS0820033&state=MS&source=Ground%20water&population=2106&sys_num=0,YAZOO,NOT REPORTED,MS,2106,Ground water
9119,NE3113308,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NE3113308&state=NE&source=Ground%20water&population=264&sys_num=0,PAWNEE,TABLE ROCK,NE,264,Ground water
33950,NY3304336,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY3304336&state=NY&source=Surface%20water&population=300000&sys_num=0,ONONDAGA,SYRACUSE (C),NY,300000,Surface water
2481,OR4100138,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OR4100138&state=OR&source=Ground%20water&population=250&sys_num=0,CLACKAMAS,NOT REPORTED,OR,250,Ground water
3786,AZ0402024,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=AZ0402024&state=AZ&source=Ground%20water&population=771&sys_num=0,COCHISE,NACO,AZ,771,Ground water
18984,IL2030010,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IL2030010&state=IL&source=Ground%20water&population=100&sys_num=0,WOODFORD,NOT REPORTED,IL,100,Ground water
4320,UTAH26086,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=UTAH26086&state=UT&source=Surface%20water&population=1782&sys_num=0,WASATCH,NOT REPORTED,UT,1782,Surface water
7994,ND5000691,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=ND5000691&state=ND&source=Ground%20water%20purchased&population=604&sys_num=0,WALSH,MINTO,ND,604,Ground water purchased
14477,MO5024599,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MO5024599&state=MO&source=Ground%20water&population=2000&sys_num=0,TANEY,TANEYVILLE,MO,2000,Ground water
46776,DE0000559,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=DE0000559&state=DE&source=Ground%20water&population=2048&sys_num=0,SUSSEX,BRIDGEVILLE,DE,2048,Ground water
22608,MS0350025,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MS0350025&state=MS&source=Ground%20water&population=1201&sys_num=0,KEMPER,NOT REPORTED,MS,1201,Ground water
32055,PA7670041,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=PA7670041&state=PA&source=Ground%20water&population=52&sys_num=0,YORK,NOT REPORTED,PA,52,Ground water
9737,KS2012519,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=KS2012519&state=KS&source=Surface%20water%20purchased&population=430&sys_num=0,MONTGOMERY,ELK CITY,KS,430,Surface water purchased
18871,IL0535100,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IL0535100&state=IL&source=Ground%20water&population=100&sys_num=0,FORD,NOT REPORTED,IL,100,Ground water
29593,VA4133620,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=VA4133620&state=VA&source=Ground%20water&population=264&sys_num=0,NORTHUMBERLAND,NOT REPORTED,VA,264,Ground water
14366,MO5031173,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MO5031173&state=MO&source=Ground%20water&population=75&sys_num=0,MCDONALD,NOT REPORTED,MO,75,Ground water
3454,AZ0411315,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=AZ0411315&state=AZ&source=Ground%20water&population=70&sys_num=0,PINAL,KEARNY,AZ,70,Ground water
25549,GA0510092,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=GA0510092&state=GA&source=Ground%20water&population=175&sys_num=0,CHATHAM,NOT REPORTED,GA,175,Ground water
1025,WA5347000,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WA5347000&state=WA&source=Ground%20water&population=1174&sys_num=0,LEWIS,NOT REPORTED,WA,1174,Ground water
5,WA5301977,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WA5301977&state=WA&source=Ground%20water&population=39&sys_num=0,ISLAND,NOT REPORTED,WA,39,Ground water
19240,IN5211004,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IN5211004&state=IN&source=Ground%20water&population=1001&sys_num=0,CLAY,CLAY CITY,IN,1001,Ground water
13889,MO3031364,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MO3031364&state=MO&source=Ground%20water&population=120&sys_num=0,BENTON,WARSAW,MO,120,Ground water
41253,TX0310004,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=TX0310004&state=TX&source=Surface%20water&population=5542&sys_num=0,CAMERON,NOT REPORTED,TX,5542,Surface water
30036,VA5019878,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=VA5019878&state=VA&source=Ground%20water&population=180&sys_num=0,BEDFORD,NOT REPORTED,VA,180,Ground water
10642,OK3004916,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OK3004916&state=OK&source=Surface%20water%20purchased&population=345&sys_num=0,MCINTOSH,NOT REPORTED,OK,345,Surface water purchased
1419,WA5366637,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WA5366637&state=WA&source=Ground%20water&population=3820&sys_num=0,PIERCE,NOT REPORTED,WA,3820,Ground water
46275,NH1792030,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NH1792030&state=NH&source=Ground%20water&population=688&sys_num=0,ROCKINGHAM,NORTHWOOD,NH,688,Ground water
44478,NJ1101002,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NJ1101002&state=NJ&source=Ground%20water&population=25000&sys_num=0,MERCER,EAST WINDSOR TWP.-1101,NJ,25000,Ground water
20554,OH2801712,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OH2801712&state=OH&source=Ground%20water&population=79&sys_num=0,GEAUGA,NOT REPORTED,OH,79,Ground water
11032,OK2006367,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OK2006367&state=OK&source=Ground%20water&population=40&sys_num=0,POTTAWATOMIE,NOT REPORTED,OK,40,Ground water
45844,NH0862030,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NH0862030&state=NH&source=Ground%20water&population=165&sys_num=0,CARROLL,FREEDOM,NH,165,Ground water
3269,NV0000303,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NV0000303&state=NV&source=Ground%20water&population=300&sys_num=0,CHURCHILL,NOT REPORTED,NV,300,Ground water
47705,MD0100004,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MD0100004&state=MD&source=Ground%20water&population=45&sys_num=0,FREDERICK,NOT REPORTED,MD,45,Ground water
37551,AK2298608,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=AK2298608&state=AK&source=Ground%20water&population=175&sys_num=0,VALDEZ-CORDOVA CENSUS AREA,VALDEZ,AK,175,Ground water
35478,NY2613319,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY2613319&state=NY&source=Ground%20water&population=3450&sys_num=0,MADISON,EATON (T),NY,3450,Ground water
37666,AK2213336,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=AK2213336&state=AK&source=Ground%20water&population=354&sys_num=0,ANCHORAGE MUNICIPALITY,ANCHORAGE,AK,354,Ground water
39148,CA4710010,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CA4710010&state=CA&source=Ground%20water&population=1058&sys_num=0,SISKIYOU,TULELAKE,CA,1058,Ground water
30873,PA6330004,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=PA6330004&state=PA&source=Surface%20water&population=6220&sys_num=0,JEFFERSON,NOT REPORTED,PA,6220,Surface water
34967,NY0801740,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY0801740&state=NY&source=Ground%20water&population=1800&sys_num=0,CHENANGO,GREENE (V),NY,1800,Ground water
37532,MI0007220,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MI0007220&state=MI&source=Surface%20water&population=72125&sys_num=0,KENT,WYOMING,MI,72125,Surface water
37840,AK2260286,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=AK2260286&state=AK&source=Ground%20water&population=747&sys_num=0,ALEUTIANS WEST CENSUS AREA,SAINT PAUL,AK,747,Ground water
7151,CO0101158,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CO0101158&state=CO&source=Ground%20water&population=101&sys_num=0,ADAMS,NOT REPORTED,CO,101,Ground water
32723,NY4505658,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY4505658&state=NY&source=Surface%20water%20purchased&population=6942&sys_num=0,SARATOGA,BALLSTON (T),NY,6942,Surface water purchased
17891,IL0510010,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IL0510010&state=IL&source=Surface%20water%20purchased&population=5025&sys_num=0,FAYETTE,NOT REPORTED,IL,5025,Surface water purchased
39629,CA4010023,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CA4010023&state=CA&source=Ground%20water&population=1957&sys_num=0,SAN LUIS OBISPO,NOT REPORTED,CA,1957,Ground water
33492,NY3921697,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY3921697&state=NY&source=Ground%20water&population=160&sys_num=0,PUTNAM,SOUTHEAST (T),NY,160,Ground water
9459,KS2006114,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=KS2006114&state=KS&source=Ground%20water&population=35784&sys_num=0,GEARY,FORT RILEY,KS,35784,Ground water
34869,NY0400339,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY0400339&state=NY&source=Ground%20water&population=1760&sys_num=0,CATTARAUGUS,FRANKLINVILLE (V),NY,1760,Ground water
25786,GA0290104,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=GA0290104&state=GA&source=Ground%20water&population=364&sys_num=0,BRYAN,NOT REPORTED,GA,364,Ground water
7147,CO0134640,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CO0134640&state=CO&source=Ground%20water&population=39&sys_num=0,LA PLATA,NOT REPORTED,CO,39,Ground water
15093,AR0001075,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=AR0001075&state=AR&source=Surface%20water%20purchased&population=964&sys_num=0,HOWARD,NOT REPORTED,AR,964,Surface water purchased
37058,MI0004876,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MI0004876&state=MI&source=Ground%20water&population=60&sys_num=0,ALLEGAN,NOT REPORTED,MI,60,Ground water
42192,VT0005137,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=VT0005137&state=VT&source=Surface%20water&population=87&sys_num=0,GRAND ISLE,ALBURG,VT,87,Surface water
42374,VT0005156,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=VT0005156&state=VT&source=Ground%20water&population=1350&sys_num=0,LAMOILLE,JOHNSON,VT,1350,Ground water
12105,IA3100629,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IA3100629&state=IA&source=Ground%20water&population=60&sys_num=0,DUBUQUE,DUBUQUE,IA,60,Ground water
46813,DE0000573,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=DE0000573&state=DE&source=Ground%20water&population=252&sys_num=0,KENT,DOVER,DE,252,Ground water
19906,IN5246010,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IN5246010&state=IN&source=Ground%20water&population=99&sys_num=0,LAPORTE,LA PORTE,IN,99,Ground water
3404,AZ0403003,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=AZ0403003&state=AZ&source=Ground%20water&population=12191&sys_num=0,COCONINO,SEDONA,AZ,12191,Ground water
25260,GA1150003,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=GA1150003&state=GA&source=Surface%20water&population=2200&sys_num=0,FLOYD,MOUNT BERRY,GA,2200,Surface water
23894,FL4060254,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=FL4060254&state=FL&source=Ground%20water&population=52749&sys_num=0,BROWARD,DEERFIELD BEACH,FL,52749,Ground water
45780,NH0832010,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NH0832010&state=NH&source=Ground%20water&population=115&sys_num=0,HILLSBOROUGH,FRANCESTOWN,NH,115,Ground water
17094,WI4050355,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WI4050355&state=WI&source=Ground%20water&population=3400&sys_num=0,BROWN,PULASKI,WI,3400,Ground water
10589,OK2003806,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OK2003806&state=OK&source=Ground%20water%20purchased&population=440&sys_num=0,KIOWA,NOT REPORTED,OK,440,Ground water purchased
9379,KS2003515,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=KS2003515&state=KS&source=Surface%20water%20purchased&population=50&sys_num=0,COWLEY,WINFIELD,KS,50,Surface water purchased
1869,WA53AB833,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WA53AB833&state=WA&source=Ground%20water&population=60&sys_num=0,SPOKANE,NOT REPORTED,WA,60,Ground water
33940,NY3530149,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY3530149&state=NY&source=Surface%20water%20purchased&population=750&sys_num=0,ORANGE,GOSHEN (T),NY,750,Surface water purchased
12749,IA5650003,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IA5650003&state=IA&source=Surface%20water%20purchased&population=898&sys_num=0,LEE,MONTROSE,IA,898,Surface water purchased
6634,CO0121250,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CO0121250&state=CO&source=Surface%20water&population=655&sys_num=0,EL PASO,NOT REPORTED,CO,655,Surface water
19186,IN5256002,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IN5256002&state=IN&source=Ground%20water&population=986&sys_num=0,NEWTON,BROOK,IN,986,Ground water
24827,FL6296224,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=FL6296224&state=FL&source=Ground%20water&population=375&sys_num=0,HILLSBOROUGH,DOVER,FL,375,Ground water
45969,NH0753030,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NH0753030&state=NH&source=Ground%20water&population=263&sys_num=0,GRAFTON,ENFIELD,NH,263,Ground water
24030,FL5084117,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=FL5084117&state=FL&source=Ground%20water&population=44&sys_num=0,CHARLOTTE,PUNTA GORDA,FL,44,Ground water
24850,FL3590785,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=FL3590785&state=FL&source=Ground%20water&population=10435&sys_num=0,SEMINOLE,APOPKA,FL,10435,Ground water
14551,MO5036205,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MO5036205&state=MO&source=Ground%20water&population=205&sys_num=0,STONE,NOT REPORTED,MO,205,Ground water
8304,SD4602235,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=SD4602235&state=SD&source=Ground%20water&population=95&sys_num=0,CUSTER,BLACK HAWK<br>HERMOSA</br>,SD,95,Ground water
4179,UTAH26003,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=UTAH26003&state=UT&source=Ground%20water&population=480&sys_num=0,WASATCH,NOT REPORTED,UT,480,Ground water
46970,DE0000549,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=DE0000549&state=DE&source=Ground%20water&population=45&sys_num=0,KENT,CAMDEN-WYOMING,DE,45,Ground water
33461,NY5030110,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY5030110&state=NY&source=Surface%20water%20purchased&population=300&sys_num=0,STEUBEN,HORNELSLVILLE (T),NY,300,Surface water purchased
38514,VI0000349,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=VI0000349&state=VI&source=Surface%20water&population=2500&sys_num=0,ST. CROIX ISLAND,NOT REPORTED,VI,2500,Surface water
47111,DE0000630,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=DE0000630&state=DE&source=Surface%20water&population=36450&sys_num=0,NEW CASTLE,NEWARK,DE,36450,Surface water
6413,CO0119139,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CO0119139&state=CO&source=Ground%20water&population=230&sys_num=0,EAGLE,NOT REPORTED,CO,230,Ground water
10599,OK1010408,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OK1010408&state=OK&source=Surface%20water&population=1005&sys_num=0,ATOKA,NOT REPORTED,OK,1005,Surface water
23341,AL0001199,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=AL0001199&state=AL&source=Surface%20water%20purchased&population=8514&sys_num=0,ST. CLAIR,MARGARET,AL,8514,Surface water purchased
17790,IL0310690,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IL0310690&state=IL&source=Surface%20water%20purchased&population=23153&sys_num=0,COOK,DOLTON,IL,23153,Surface water purchased
19625,IN5271010,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IN5271010&state=IN&source=Ground%20water&population=1896&sys_num=0,ST. JOSEPH,NORTH LIBERTY,IN,1896,Ground water
5925,MT0000796,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MT0000796&state=MT&source=Ground%20water&population=90&sys_num=0,GALLATIN,BOZEMAN,MT,90,Ground water
16503,WI2650150,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WI2650150&state=WI&source=Ground%20water&population=125&sys_num=0,WALWORTH,LAKE GENEVA,WI,125,Ground water
1865,WA5324881,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WA5324881&state=WA&source=Ground%20water&population=210&sys_num=0,WHITMAN,NOT REPORTED,WA,210,Ground water
45876,NH1932090,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NH1932090&state=NH&source=Ground%20water&population=80&sys_num=0,ROCKINGHAM,PLAISTOW,NH,80,Ground water
29161,VA4101110,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=VA4101110&state=VA&source=Ground%20water&population=1240&sys_num=0,KING WILLIAM,NOT REPORTED,VA,1240,Ground water
29934,VA2790600,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=VA2790600&state=VA&source=Surface%20water&population=23746&sys_num=0,NOT REPORTED,STAUNTON,VA,23746,Surface water
28194,NC0181134,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NC0181134&state=NC&source=Surface%20water%20purchased&population=120&sys_num=0,RUTHERFORD,FOREST CITY,NC,120,Surface water purchased
5588,MT0003602,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MT0003602&state=MT&source=Ground%20water%20purchased&population=139&sys_num=0,FLATHEAD,KALISPELL,MT,139,Ground water purchased
9509,KS2006301,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=KS2006301&state=KS&source=Ground%20water&population=258&sys_num=0,GOVE,GRINNELL,KS,258,Ground water
36928,MI0040217,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MI0040217&state=MI&source=Ground%20water&population=93&sys_num=0,ISABELLA,NOT REPORTED,MI,93,Ground water
3506,AZ0413024,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=AZ0413024&state=AZ&source=Ground%20water&population=4097&sys_num=0,YAVAPAI,CLARKDALE,AZ,4097,Ground water
17726,IL0995185,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IL0995185&state=IL&source=Ground%20water&population=158&sys_num=0,LASALLE,NOT REPORTED,IL,158,Ground water
17208,WI4200477,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WI4200477&state=WI&source=Ground%20water&population=494&sys_num=0,FOND DU LAC,ST CLOUD,WI,494,Ground water
10645,OK3004939,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OK3004939&state=OK&source=Surface%20water%20purchased&population=1900&sys_num=0,MCINTOSH,NOT REPORTED,OK,1900,Surface water purchased
23206,AL0000035,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=AL0000035&state=AL&source=Ground%20water&population=38754&sys_num=0,BALDWIN,FAIRHOPE,AL,38754,Ground water
38001,HI0000423,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=HI0000423&state=HI&source=Ground%20water&population=260&sys_num=0,NOT REPORTED,KEALIA (DHO),HI,260,Ground water
457,WA5302715,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WA5302715&state=WA&source=Ground%20water&population=83&sys_num=0,MASON,NOT REPORTED,WA,83,Ground water
33856,NY3612220,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY3612220&state=NY&source=Surface%20water%20purchased&population=225&sys_num=0,ORLEANS,MURRAY (T),NY,225,Surface water purchased
33345,NY1030013,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY1030013&state=NY&source=Ground%20water&population=25&sys_num=0,COLUMBIA,COPAKE (T),NY,25,Ground water
42311,VT0005382,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=VT0005382&state=VT&source=Ground%20water&population=108&sys_num=0,RUTLAND,KILLINGTON,VT,108,Ground water
16573,WI1130223,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WI1130223&state=WI&source=Ground%20water&population=2209&sys_num=0,DANE,DEERFIELD,WI,2209,Ground water
4067,AZ0408078,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=AZ0408078&state=AZ&source=Ground%20water&population=625&sys_num=0,MOHAVE,KINGMAN,AZ,625,Ground water
30967,PA4140082,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=PA4140082&state=PA&source=Ground%20water&population=6000&sys_num=0,CENTRE,NOT REPORTED,PA,6000,Ground water
28730,NC0118250,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NC0118250&state=NC&source=Ground%20water&population=43&sys_num=0,CATAWBA,NEWTON,NC,43,Ground water
24662,FL6295453,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=FL6295453&state=FL&source=Ground%20water&population=72&sys_num=0,HILLSBOROUGH,RUSKIN,FL,72,Ground water
12503,IA3126304,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IA3126304&state=IA&source=Ground%20water&population=139&sys_num=0,DUBUQUE,DUBUQUE,IA,139,Ground water
1186,WA5354850,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WA5354850&state=WA&source=Ground%20water&population=1720&sys_num=0,SPOKANE,NOT REPORTED,WA,1720,Ground water
21530,TN0000974,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=TN0000974&state=TN&source=Ground%20water&population=88&sys_num=0,BLOUNT,FRIENDSVILLE<br>LOUISVILLE</br>,TN,88,Ground water
45030,RI1000035,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=RI1000035&state=RI&source=Ground%20water&population=292&sys_num=0,WASHINGTON,CHARLESTOWN,RI,292,Ground water
23202,AL0000636,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=AL0000636&state=AL&source=Ground%20water&population=4170&sys_num=0,GREENE,EUTAW,AL,4170,Ground water
17351,WI4710459,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WI4710459&state=WI&source=Ground%20water&population=70&sys_num=0,WINNEBAGO,WINCHESTER,WI,70,Ground water
30762,PA2450005,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=PA2450005&state=PA&source=Ground%20water&population=118&sys_num=0,MONROE,NOT REPORTED,PA,118,Ground water
34729,NY0530054,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY0530054&state=NY&source=Surface%20water%20purchased&population=1150&sys_num=0,CAYUGA,BRUTUS (T),NY,1150,Surface water purchased
39487,CA1000023,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CA1000023&state=CA&source=Ground%20water&population=135&sys_num=0,FRESNO,NOT REPORTED,CA,135,Ground water
25025,FL6095036,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=FL6095036&state=FL&source=Ground%20water&population=140&sys_num=0,CITRUS,FLORAL CITY,FL,140,Ground water
33136,NY5501381,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY5501381&state=NY&source=Ground%20water&population=73&sys_num=0,ULSTER,WAWARSING (T),NY,73,Ground water
8720,NE3111907,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NE3111907&state=NE&source=Ground%20water&population=135&sys_num=0,STANTON,NORFOLK,NE,135,Ground water
37937,AK2220170,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=AK2220170&state=AK&source=Ground%20water&population=115&sys_num=0,MATANUSKA-SUSITNA BOROUGH,WASILLA,AK,115,Ground water
6570,CO0119234,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CO0119234&state=CO&source=Ground%20water&population=1500&sys_num=0,EAGLE,NOT REPORTED,CO,1500,Ground water
44650,NJ0333002,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NJ0333002&state=NJ&source=Ground%20water&population=700&sys_num=0,BURLINGTON,SOUTHAMPTON TWP.-0333,NJ,700,Ground water
26515,GA0690034,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=GA0690034&state=GA&source=Ground%20water&population=216&sys_num=0,COFFEE,DOUGLAS,GA,216,Ground water
11502,MN1020041,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MN1020041&state=MN&source=Ground%20water&population=100&sys_num=0,ANOKA,NOT REPORTED,MN,100,Ground water
12062,MN1200007,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MN1200007&state=MN&source=Ground%20water&population=782&sys_num=0,DODGE,WEST CONCORD,MN,782,Ground water
7300,NM3500930,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NM3500930&state=NM&source=Ground%20water&population=65&sys_num=0,TORRANCE,NOT REPORTED,NM,65,Ground water
16668,WI7010110,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WI7010110&state=WI&source=Ground%20water%20purchased&population=781&sys_num=0,ADAMS,FRIENDSHIP,WI,781,Ground water purchased
35100,NY0700777,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY0700777&state=NY&source=Ground%20water&population=300&sys_num=0,CHEMUNG,CHEMUNG (T),NY,300,Ground water
24152,FL3350536,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=FL3350536&state=FL&source=Ground%20water&population=130&sys_num=0,LAKE,CLERMONT,FL,130,Ground water
28389,NC0442028,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NC0442028&state=NC&source=Surface%20water%20purchased&population=1557&sys_num=0,HALIFAX,LITTLETON,NC,1557,Surface water purchased
